127.0.0.1 - - [28/Feb/2025:16:42:54 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:03 +0530] "GET /vertical_farming/ HTTP/1.1" 200 10153
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:03 +0530] "GET /vertical_farming/index/css/style-starter.css HTTP/1.1" 200 321894
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:04 +0530] "GET /vertical_farming/index/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:04 +0530] "GET /vertical_farming/index/images/vertical-farm2.jpg HTTP/1.1" 200 94069
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:04 +0530] "GET /vertical_farming/index/images/vertical-farm1.jpg HTTP/1.1" 200 87210
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:04 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:04 +0530] "GET /vertical_farming/index/js/bootstrap.min.js HTTP/1.1" 200 60091
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:04 +0530] "GET /vertical_farming/index/js/theme-change.js HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:04 +0530] "GET /vertical_farming/index/js/jquery.zoomslider.min.js HTTP/1.1" 200 4760
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:05 +0530] "GET /vertical_farming/index/images/bg3.jpg HTTP/1.1" 200 116244
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:06 +0530] "GET /vertical_farming/index/js/modernizr-2.6.2.min.js HTTP/1.1" 200 15414
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:07 +0530] "GET /vertical_farming/index/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80252
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:08 +0530] "GET /vertical_farming/index/images/banner1.jpg HTTP/1.1" 200 138513
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:08 +0530] "GET /vertical_farming/index/images/banner2.jpg HTTP/1.1" 200 548616
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:08 +0530] "GET /vertical_farming/index/images/banner4.jpg HTTP/1.1" 200 172030
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:08 +0530] "GET /vertical_farming/index/images/banner3.jpg HTTP/1.1" 200 545241
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:08 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [28/Feb/2025:16:43:08 +0530] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:20:15 +0530] "GET /vertical_farming/module3_login.html HTTP/1.1" 200 3353
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:20:15 +0530] "GET /vertical_farming/assets/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:20:15 +0530] "GET /vertical_farming/assets/css/bootstrap.min.css HTTP/1.1" 200 162763
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:20:15 +0530] "GET /vertical_farming/assets/js/bootstrap.min.js HTTP/1.1" 200 59733
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:20:16 +0530] "GET /vertical_farming/assets/css/uf-style.css HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:20:17 +0530] "GET /vertical_farming/assets/img/login.jpg HTTP/1.1" 200 218768
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:20:17 +0530] "GET /vertical_farming/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:20:19 +0530] "GET /vertical_farming/assets/js/popper.min.js HTTP/1.1" 200 18872
