127.0.0.1 - - [13/Mar/2025:17:02:23 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:24 +0530] "GET /vertical_farming/ HTTP/1.1" 200 10153
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:24 +0530] "GET /vertical_farming/index/css/style-starter.css HTTP/1.1" 200 321894
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:24 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:24 +0530] "GET /vertical_farming/index/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:24 +0530] "GET /vertical_farming/index/images/vertical-farm1.jpg HTTP/1.1" 200 87210
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:24 +0530] "GET /vertical_farming/index/images/vertical-farm2.jpg HTTP/1.1" 200 94069
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:24 +0530] "GET /vertical_farming/index/js/jquery.zoomslider.min.js HTTP/1.1" 200 4760
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:24 +0530] "GET /vertical_farming/index/js/bootstrap.min.js HTTP/1.1" 200 60091
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:24 +0530] "GET /vertical_farming/index/js/theme-change.js HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:25 +0530] "GET /vertical_farming/index/images/bg3.jpg HTTP/1.1" 200 116244
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:25 +0530] "GET /vertical_farming/index/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80252
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:25 +0530] "GET /vertical_farming/index/js/modernizr-2.6.2.min.js HTTP/1.1" 200 15414
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:25 +0530] "GET /vertical_farming/index/images/banner1.jpg HTTP/1.1" 200 138513
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:25 +0530] "GET /vertical_farming/index/images/banner2.jpg HTTP/1.1" 200 548616
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:25 +0530] "GET /vertical_farming/index/images/banner3.jpg HTTP/1.1" 200 545241
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:25 +0530] "GET /vertical_farming/index/images/banner4.jpg HTTP/1.1" 200 172030
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:25 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:27 +0530] "GET /vertical_farming/module2_login.html HTTP/1.1" 200 3272
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:27 +0530] "GET /vertical_farming/assets/js/bootstrap.min.js HTTP/1.1" 200 59733
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:27 +0530] "GET /vertical_farming/assets/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:27 +0530] "GET /vertical_farming/assets/css/bootstrap.min.css HTTP/1.1" 200 162763
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:27 +0530] "GET /vertical_farming/assets/css/uf-style.css HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:27 +0530] "GET /vertical_farming/assets/img/login.jpg HTTP/1.1" 200 218768
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:27 +0530] "GET /vertical_farming/assets/js/popper.min.js HTTP/1.1" 200 18872
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:27 +0530] "GET /vertical_farming/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:02:27 +0530] "GET /vertical_farming/assets/img/favicon.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:21 +0530] "GET /vertical_farming/module2_register.html HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:21 +0530] "GET /vertical_farming/assets/img/regw2.jpg HTTP/1.1" 200 447742
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:33 +0530] "POST /vertical_farming/proavailability HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:53 +0530] "POST /vertical_farming/proavailabalitylogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:53 +0530] "GET /vertical_farming/module2_product_availability.html HTTP/1.1" 200 13177
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:53 +0530] "GET /vertical_farming/prodavailability/css/style-starter.css HTTP/1.1" 200 277238
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:53 +0530] "GET /vertical_farming/prodavailability/js/jquery-3.3.1.min.js HTTP/1.1" 200 69917
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:53 +0530] "GET /vertical_farming/prodavailability/images/b3.jpg HTTP/1.1" 200 380950
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:53 +0530] "GET /vertical_farming/prodavailability/images/b4.jpg HTTP/1.1" 200 89259
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:53 +0530] "GET /vertical_farming/prodavailability/images/bg2.jpg HTTP/1.1" 200 492253
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:53 +0530] "GET /vertical_farming/prodavailability/js/theme-change.js HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:53 +0530] "GET /vertical_farming/prodavailability/js/owl.carousel.js HTTP/1.1" 200 90057
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:53 +0530] "GET /vertical_farming/prodavailability/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:53 +0530] "GET /vertical_farming/prodavailability/js/jquery.countup.js HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:54 +0530] "GET /vertical_farming/prodavailability/js/jquery.waypoints.min.js HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:54 +0530] "GET /vertical_farming/prodavailability/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
