SI No,Fruits/Vegetables,Technique,Description,Growing Medium,Watering Method,Sunlight Exposure (hours/day),Growth Rate (days),Nutrient Delivery (g/week),Space Efficiency (sq ft/plant),Common Challenges,Environmental Impact,Ideal for
"1","Tomato","Hydroponics","Soilless growing using nutrient-rich water","Nutrient solution","Drip irrigation","7","60","400","2","Disease, pests, pH control","Low","Greenhouses, Containers",
"2","Lettuce","Aeroponics","Growing in air with misting for nutrients","Air","Misting","12","30","300","1","Root rot, humidity control","Low","Hydroponic systems",
"3","Spinach","Soil-based","Traditional growing in soil","Soil","Flood and drain","7","40","240","1.5","Leaf spot, pests","Moderate","Garden beds",
"4","Cucumber","Vertical farming","Growing upwards to save space","Soil","Drip irrigation","8","50","500","3","Powdery mildew, pests","Moderate","Greenhouses, Trellises",
"5","Bell Pepper","Hydroponics","Soilless growing using nutrient-rich water","Nutrient solution","Drip irrigation","8","70","600","2.5","Blossom drop, pests","Low","Greenhouses, Containers",
"6","Eggplant","Hydroponics","Soilless growing using nutrient-rich water","Nutrient solution","Drip irrigation","8","70","500","2","Aphids, spider mites","Low","Greenhouses",
"7","Carrot","Soil-based","Growing in soil for root vegetables","Soil","Drip irrigation","7","80","150","1","Root fly, poor germination","Moderate","Garden beds",
"8","Strawberry","Hydroponics","Growing in nutrient solution","Nutrient solution","Ebb and flow","8","40","300","1.5","Fungus, aphids","Low","Greenhouses",
"9","Broccoli","Soil-based","Growing in soil for cruciferous vegetables","Soil","Drip irrigation","7","60","180","3","Cabbage worms, aphids","Moderate","Garden beds",
"10","Cauliflower","Soil-based","Growing in soil for cruciferous vegetables","Soil","Drip irrigation","7","70","180","3","Cabbage worms, pests","Moderate","Garden beds",
"11","Radish","Soil-based","Fast-growing root vegetable","Soil","Flood and drain","7","25","60","1","Pests, root rot","Low","Garden beds",
"12","Zucchini","Vertical farming","Growing upwards to save space","Soil","Drip irrigation","8","50","400","2","Powdery mildew, pests","Moderate","Greenhouses, Trellises",
